                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.89387,                 1.4178,                0.79491,                 1.0754,                0.75746,                0.65552,                0.75597,                0.53091,                0.75433,                0.62641,                0.72363,                0.43551,                0.95069,                0.77066,                  4.135,                  1.136,               0.007063,               0.007063,               0.007063
                     91,                 0.8967,                 1.4257,                0.79688,                 1.0768,                0.75444,                0.65738,                 0.7561,                0.53108,                0.75453,                0.62606,                 0.7245,                0.43589,                0.95099,                0.76974,                 4.1383,                 1.1356,                0.00703,                0.00703,                0.00703
                     92,                0.90823,                 1.4112,                0.81134,                   1.08,                0.75396,                0.65582,                0.75566,                0.53118,                0.75645,                0.62641,                0.72467,                0.43575,                 0.9522,                0.76962,                 4.1232,                 1.1374,               0.006997,               0.006997,               0.006997
                     93,                0.90192,                 1.4241,                0.80181,                 1.0783,                0.75311,                0.65773,                0.75586,                0.53111,                0.75393,                0.62831,                0.72408,                0.43521,                0.95315,                0.76952,                 4.0876,                 1.1385,               0.006964,               0.006964,               0.006964
                     94,                0.89606,                 1.3881,                0.79826,                 1.0734,                0.75232,                0.65773,                0.75614,                 0.5309,                0.75477,                0.62848,                0.72453,                0.43604,                0.95386,                0.76968,                 4.0689,                 1.1396,               0.006931,               0.006931,               0.006931
                     95,                0.90125,                 1.4101,                0.80054,                 1.0758,                0.75341,                0.65842,                0.75591,                0.53075,                0.75443,                0.62835,                 0.7239,                0.43595,                0.95441,                0.76972,                 4.0259,                 1.1401,               0.006898,               0.006898,               0.006898
                     96,                0.90589,                 1.4133,                0.80755,                 1.0745,                0.75467,                0.65582,                0.75539,                0.53047,                0.75281,                0.62952,                0.72349,                0.43555,                0.95518,                0.77009,                 4.0163,                 1.1404,               0.006865,               0.006865,               0.006865
                     97,                0.89395,                 1.4255,                 0.7963,                 1.0743,                0.75293,                0.65811,                0.75531,                0.53048,                0.75308,                0.63014,                0.72383,                0.43586,                0.95588,                0.77071,                 3.9853,                 1.1416,               0.006832,               0.006832,               0.006832
                     98,                0.90473,                 1.4132,                0.80212,                 1.0762,                0.75289,                0.65755,                0.75477,                0.53029,                 0.7554,                0.62814,                0.72331,                 0.4352,                 0.9561,                0.77066,                 3.9627,                 1.1423,               0.006799,               0.006799,               0.006799
                     99,                0.90061,                 1.3994,                0.79918,                  1.076,                0.75527,                0.65703,                0.75477,                0.53029,                0.75383,                0.62917,                0.72354,                0.43518,                0.95661,                0.77045,                 3.9378,                 1.1432,               0.006766,               0.006766,               0.006766
                    100,                0.89265,                 1.4043,                0.79258,                 1.0707,                0.75551,                0.65617,                0.75457,                0.52998,                0.75211,                0.62895,                 0.7228,                0.43445,                0.95646,                0.77036,                 3.9319,                 1.1425,               0.006733,               0.006733,               0.006733
                    101,                0.89341,                  1.391,                0.78719,                 1.0722,                0.75458,                0.65759,                0.75467,                0.52956,                0.75088,                0.63005,                0.72251,                0.43421,                0.95657,                0.77023,                 3.9093,                 1.1409,                 0.0067,                 0.0067,                 0.0067
                    102,                0.88956,                 1.3996,                 0.7901,                 1.0736,                 0.7551,                0.65677,                0.75465,                0.52947,                0.75233,                0.62866,                0.72354,                0.43451,                0.95599,                0.77019,                 3.8851,                 1.1393,               0.006667,               0.006667,               0.006667
